"	",描述,图片数
"1	紫峰大厦","南京紫峰大厦位于南京市鼓楼区中央路1号（鼓楼广场旁），由美国SOM建筑设计事务所设计，主创为阿德里安·史密斯，2010年投用。总高度450米（含天线），屋顶高度381米，主楼地上89层，总建筑面积约26万平方米，是江苏省第一高楼。
2	紫峰大厦集超5A甲级写字楼、洲际酒店、商业中心于一体。72层为360°全景观光层，地面高度288.6米，采用瑞士迅达电梯，38秒即可到达，东眺紫金山/玄武湖，西望长江，南瞰新街口，北观幕府山。设计灵感融合龙文化、扬子江、园林城市三种中国元素，建成时为中国第二高楼、世界第七高楼，是世界首座完全由中国投资建设的超级摩天大楼。",1
"3	南京眼步行桥","南京眼步行桥位于南京市建邺区河西新城青奥轴线中轴，是长江上首座观光步行桥。2013年1月开工，2014年8月投用。总长827.5米（主桥531.5米），主跨240米，为双塔双索面钢箱梁斜拉桥。
4	桥塔为两个倾斜的椭圆形圆环，向岸侧倾斜35度，塔竖向高82.5米，形如两只眼睛望向天空，南京眼""由此得名。全桥共36根斜拉索，羽翼般振翅向上。2015年荣获第32届阿瑟·海顿奖（国际桥梁工程界大奖），是中国桥梁首次获得该奖项。桥面每平方米荷载0.35吨，最多可容纳约4万人。免费全天开放，已成为南京新地标。""",1
"5	牛首山佛顶宫","牛首山佛顶宫位于南京市江宁区牛首山文化旅游区内，建于废弃矿坑之上，2012年开工，2015年建成开放。长220米，宽160米，总体高度89.3米，单体建筑面积约13.6万平方米，总投资约40亿元，获鲁班奖和詹天佑奖。
6	佛顶宫外空间分为大穹顶与小穹顶：大穹顶长120米形如佛祖袈裟，小穹顶形如佛祖发髻（摩尼宝珠造型），基座由56座飞天菩提门和56根云门如意柱组成莲花托珍宝""意象。内部共九层（地上三层、地下六层），三大空间为禅境大观（供奉7.5米铜铸释迦牟尼涅槃卧像）、舍利大殿（矗立21.8米高舍利大塔）、舍利藏宫（地下44米深处供奉释迦牟尼佛顶骨舍利，每年仅开放约13天）。被誉为""世界佛教文化新遗产，当代建筑艺术新景观""。门票98元。""",2
"7	大报恩寺琉璃塔",大报恩寺琉璃塔位于南京市秦淮区中华门外雨花路1号大报恩寺遗址公园内，前身为明代大报恩寺琉璃宝塔，被列为中世纪世界七大奇迹"之一，与罗马大斗兽场、比萨斜塔等齐名，被当时西方人视为代表中国的标志性建筑。,
"8	明代琉璃塔",由明成祖朱棣敕建，明永乐十年（1412年）动工，宣德六年（1431年）竣工，历时近20年，耗资248.5万两银子，动用匠人与军工10万人。塔高约78.2米，九层八面，通体用琉璃烧制，白瓷贴面，塔内外置长明灯146盏，角梁下悬挂风铃152个，被誉为"天下第一塔"。清咸丰六年（1856年）毁于太平天国"天京事变"。2008年在遗址地宫出土"七宝阿育王塔"及佛顶真骨等珍贵文物。2015年遗址公园开放，原址建成轻质钢架玻璃保护塔（高93.157米），夜间利用LED灯光再现"琉光塔影"。国家AAAA级旅游景区。",
"9	南京长江大桥",南京长江大桥位于南京市鼓楼区下关与浦口区之间，是长江上第一座由中国自行设计和建造的双层式铁路、公路两用桥梁，素有争气桥"之称。1960年1月动工，1968年12月公路桥通车，总造价约2.876亿元。,
"11	青奥中心(双子塔)",南京青奥中心（双子塔）位于南京市建邺区邺城路8号，正式名称为南京国际青年文化中心，由建筑界解构主义大师"扎哈·哈迪德设计。2012年4月开工，2018年10月竣工，总建筑面积约49万平方米。,
