	,描述,图片数
1	南京奥体中心,"南京奥林匹克体育中心位于南京市建邺区河西新城，是亚洲A级体育馆、世界第五代体育建筑代表。2002年8月动工，2005年5月投用，总投资约21.67亿元，占地面积89.7万平方米，建筑面积40万平方米。
2	由澳大利亚HOK体育建筑设计公司设计，呈"四场馆二中心"布局：主体育场（6.2万座，世界最大双斜拱，两道跨度近400米的"金陵红"巨拱）、体育馆（1.3万座，南方唯一带冰场体育馆，可旱冰两用）、游泳馆（4000座，海螺形）、网球中心（8000座，21片场地）、科技中心（145米高观光塔，全球最高体育观光塔）。五大场馆通过高7米、宽60米、长1300米的环形大平台连通。曾作为2005年十运会、2013年亚青会、2014年青奥会主会场，2007年获第11届国际优秀体育建筑和运动设施金奖（中国首个获此殊荣的体育建筑），入选新金陵48景。",2
3	五台山体育中心,"江苏省五台山体育中心位于南京市鼓楼区五台山1-6号，始建于1951年，隶属江苏省体育局。1953年在工人、学生和解放军战士义务劳动下建成田径场，1973年体育馆动工，由建筑大师杨廷宝教授主持设计、齐康为主要设计师，1975年6月10日落成开放，获评"江苏省十佳建筑工程"，被载入英国《世界建筑史》。
4	体育场占地5.5万平方米，容纳1.86万观众，是江苏省最早的专业灯光足球场地。体育馆建筑面积1.79万平方米，设8000座位。另设有游泳跳水馆、网球馆、保龄球馆、篮球公园等设施。曾承办十运会、亚青会、青奥会乒乓球赛等大型赛事。率先实行全年免费对市民开放，2023年被国家体育总局评为全国公共体育场馆开放使用第一批典型案例。",1
5	青奥体育公园,"南京青奥体育公园位于南京市江北新区，是2014年南京青奥会唯一新建场馆群，场馆外形形似展翅的"江鸥"，轻盈动感。室内体育馆拥有21000个座位，是中国最大的室内体育馆，具备举办NBA篮球赛的资质，曾作为2019年男篮世界杯分赛场。
6	室外体育场容纳20000名观众。正在启动改建工程，预计2026年下半年竣工，将成为南京首座专业足球场，具备承办中超及同等规模联赛的能力。曾举办张学友连续6场演唱会（约7.2万观众）、2025年乒超联赛总决赛等大型赛演。与奥体中心、五台山体育中心分别代表南京体育的现在、过去与未来。",1
7	南京图书馆,"南京图书馆位于南京市玄武区中山东路189号，是中国第三大图书馆、亚洲第四大图书馆，首批全国古籍重点保护单位、国家一级图书馆。前身为1907年创办的江南图书馆（中国第一所公共图书馆），1952年由国学图书馆与原中央图书馆合并而成。
8	新馆2007年在大行宫建成全面开放，建筑面积约7.8万平方米，馆藏量约1200万册，其中古籍160万册。与总统府、江苏省美术馆等相邻，是长江路文化一条街的重要文化地标。",1
9	金陵图书馆,"金陵图书馆位于南京市建邺区河西新城乐山路158号（毗邻奥体中心），是副省级城市图书馆、国家一级图书馆、全国古籍重点保护单位。创立于1927年6月9日，最初名为南京市立（第一）通俗图书馆，1984年更名为金陵图书馆。
10	2010年10月18日河西新馆开放，占地3.86万平方米，建筑面积2.5万平方米，阅览座位1800余个，馆藏量约200余万册。提供"书服到家"南京共享图书馆信用网借平台、地铁图书馆、24小时图书馆等特色服务。",1
11	南京大学杜厦图书馆,"南京大学杜厦图书馆位于南京大学仙林国际化校区核心区，由南京大学杰出校友杜厦先生捐资建设，2009年10月9日正式启用。占地面积近1.3万平方米，总建筑面积5.3万平方米，设计馆藏300万册，是江苏省藏书量最大的图书馆，全国高校图书馆前三。
12	图书馆为南京大学仙林校区的标志性建筑，外部造型庄重典雅，依山傍水。是中国唯一双枢纽管理体系的智能化信息图书馆，采用大流通、大阅览服务模式，设45个研究小间和3个音乐鉴赏室。配备RFID自助借还、触摸屏数字报纸、盘点机器人等技术设施。",1
13	南京市工人文化宫,"南京市工人文化宫位于南京市秦淮区，是服务全市广大职工和市民的综合性文化活动中心，集文化、体育、教育培训、休闲娱乐等功能于一体。设有职工图书馆、健身中心、羽毛球馆、舞蹈排练厅、多功能演艺厅等设施，常年开设各类职工公益培训课程和文化活动。
