	,描述,图片数
1	石鼓路天主教堂,"石鼓路天主教堂正式名称为南京圣母无染原罪主教座堂，位于南京市秦淮区石鼓路112号，是天主教南京教区主教座堂、江苏省文物保护单位。教堂采用罗曼式（罗马风）建筑风格，砖木结构，平面呈十字形，1870年（同治九年）建成，是南京现存最早的西式建筑。
2	教堂渊源可追溯至1599年意大利传教士利玛窦在南京创办的宗教活动场所。现存建筑由法国传教士雷居迪于1864年至1870年重建。1928年国民政府拨款15万元重修。教堂内有十根砖砌圆柱，顶部钟楼内置法国铸造的400公斤铜钟。堂内保存四块清代碑刻（天津条约碑、同治元年上谕碑等）及1870年开堂时的铜质镀金"圣体发光器"等珍贵文物。1980年重新开放，2003年入选金陵新四十八景。每日举行中文弥撒，周日增设韩语、英语弥撒。",1
3	莫愁路基督教堂,"南京基督教莫愁路堂位于南京市秦淮区莫愁路390号，是江苏省文物保护单位、南京市优秀民国建筑。1936年动工，1938-1942年落成，可容纳1000-1800人，为英国都铎王朝风格（哥特式），中西合璧。
4	其前身为1873年美国北美长老会传教士韦理夫妇建立的"四根杆子礼拜堂"。1936年鲍忠牧师筹款折合1100两黄金重建，由金陵大学校长陈裕光之弟陈裕华长老设计，冯玉祥将军题写奠基石，张之江将军题写"汉中堂"匾额。1937年南京大屠杀期间，教堂设立难民收容所掩护难民。建筑坐东朝西，右侧有4层方形城堡式钟楼，正立面有高达17米的哥特式尖券门。内部采用英国16世纪都铎王朝特有的"锤式屋架"结构。现信徒约4000多人，每周举行9场聚会。",1
5	圣保罗教堂,"南京圣保罗教堂（圣保罗堂）位于南京市秦淮区太平南路396号，1922-1923年建成，是南京第一座正式的基督教礼拜堂。由圣公会季盟济牧师和约翰·马吉发起建立，金陵大学齐兆昌设计监造，陈明记营造厂承建。建造资金来自美国一位母亲为纪念在一战中牺牲的儿子而捐赠的12000美元。
6	建筑外观为较为地道的哥特式风格，钟楼4层高18米，40余级阶梯至顶，内置直径2米大钟一座。但内在结构用中国传统木构架取代哥特式的尖券交叉拱。墙体用南京旧城墙砖磨光砌筑，窗座、门扇等关键部位采用高资山白石精雕细刻。室内侧墙上精刻经文并贴金箔。电影《金陵十三钗》故事发生教堂的原型即为此处。现为江苏省文物保护单位，信徒5000多人，每周8场聚会。",1
7	,,
8	鸡鸣寺,"鸡鸣寺位于南京市玄武区鸡鸣寺路1号（鸡笼山东麓、玄武湖南岸），始建于西晋永康元年（公元300年），已有1700余年历史，是南京最古老的梵刹之一，有"南朝第一寺""南朝四百八十寺之首"的美誉。1958年改为尼众道场，现为南京市级文物保护单位。
9	南朝梁大通元年（527年）梁武帝在此兴建同泰寺，曾四次"舍身"于此，并颁布《断酒肉文》成为汉传佛教素食制度的肇始。明洪武二十年（1387年）朱元璋下令重建并御题"鸡鸣寺"。寺内主要建筑有大雄宝殿、观音楼（供奉独特的倒坐观音）、药师佛塔（七层八面高44.8米，1992年《新白娘子传奇》借用此塔拍摄雷峰塔场景）、豁蒙楼（张之洞建，可远眺紫金山和玄武湖）、胭脂井（陈后主与张丽华藏匿处）等。寺前樱花大道为南京著名赏樱胜地。门票10元。",1
10	灵谷寺,"灵谷寺位于南京市玄武区钟山风景名胜区内，中山陵以东约1千米处，是古代钟山70多座南朝佛寺中唯一留存至今的寺院，也是金陵三大寺之一，距今已有1500余年历史。1983年被定为汉族地区佛教全国重点寺院。
11	灵谷寺前身为南梁天监十四年（515年）梁武帝为纪念宝志禅师兴建的开善精舍。明洪武十四年（1381年），朱元璋为建明孝陵将寺庙迁至现址，赐名"灵谷禅寺"，御题"天下第一禅林"，为明代佛教三大寺院之一。清咸丰年间毁于战火，仅存无梁殿。民国十七年（1928年）在原址改建国民革命军阵亡将士公墓。主要建筑有无梁殿——全用砖石拱券砌成，无一根梁木，是中国现存规模最大的无梁殿；灵谷塔——9层8面高60米；以及大雄宝殿、玄奘院（供奉镇寺之宝玄奘法师顶骨舍利）等。"灵谷深松"为金陵四十八景之一。门票35元。",1
12	毗卢寺,"毗卢寺位于南京市玄武区梅园新村街道汉府街4号，占地面积约2万平方米，始建于明嘉靖年间（1522-1566年），因寺中供养毗卢遮那佛（大日如来）初名毗卢庵，是金陵名刹之一。清光绪十年（1884年）两江总督曾国荃号令湘军诸将捐献巨资扩建，遂成"南京第一大刹"，乾隆下江南时曾在此下榻三日。
13	民国时期毗卢寺成为全国佛教中心，中国佛教会、中华佛学研究会等皆设于此，太虚法师在此提出"人间佛教"思想，孙中山先生也曾亲往静思。寺内建筑分两条中轴线，核心建筑万佛楼高约30米，建筑面积5166平方米，为中国最大的汉传佛教仿明清单体古建，楼内供奉1万余尊镏金铜佛。镇寺"三宝"为《乾隆大藏经》（全套168本，全世界仅存40套）、大报恩寺磬（重约100公斤，余音长达40多秒）和清代荷花缸。门票20元。",1
14	栖霞寺,"栖霞寺位于南京市栖霞区栖霞山中峰西麓，又称栖霞古寺，始建于南齐永明二年（公元484年），迄今已有1500余年历史，是中国四大名刹之一、佛教三论宗的祖庭，目前南京地区最大的佛寺。1983年被确定为汉族地区佛教全国重点寺院。
15	寺内有三大国宝级文物：隋代舍利塔（八角五层石塔，高约15米，长江以南最古石塔之一）、千佛崖石窟（始凿于南齐，现存佛像515尊，最大为无量寿佛高10米）、唐代明征君碑（唐高宗李治撰文）。唐代栖霞寺与山东灵岩寺、湖北玉泉寺、浙江国清寺并称"天下四大丛林"。鉴真第五次东渡失败后曾驻锡于此。乾隆帝五次南巡均驻跸栖霞寺。"栖霞丹枫"为金陵四十八景之首。门票约20元。",1
16	清凉寺,"清凉寺位于南京市鼓楼区清凉山路83号清凉山公园内，始建于南朝，是中国佛教禅宗五家之一——法眼宗的祖庭，成语"解铃还须系铃人"即出自此寺。
17	南唐升元初（938年）中主李璟扩建为"石头清凉大道场"，请文益禅师住持。文益禅师博取众家之长创立法眼宗，影响远及日本、韩国及东南亚。明成祖朱棣题额"清凉禅寺"。主要古迹有还阳井（南唐古井，传寺僧常年饮用须发不白）、扫叶楼（明末清初金陵八大家之首龚贤旧居）、崇正书院（明清两代江南最大书院之一）。"清凉问佛"为金陵四十八景之一。清代咸丰年间毁于战火，2009年恢复开放。免费。",1
