	,描述,图片数
1	南京博物院,"南京博物院位于南京市玄武区中山东路321号，是中国三大博物馆之一，与北京故宫博物院、台北故宫博物院齐名，也是中国创建最早的博物馆。其前身为1933年蔡元培倡议创建的国立中央博物院筹备处，大殿为仿辽代宫殿式建筑，由徐敬直设计、梁思成和刘敦桢修改指导。现为国家一级博物馆、国家AAAA级旅游景区。
2	南京博物院占地13万余平方米，实行"一院六馆"格局（历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆），馆藏文物43万余件（套），珍贵文物数量居中国第二，仅次于故宫博物院。18件镇馆之宝包括西汉金兽、东汉银缕玉衣、南朝"竹林七贤与荣启期"模印砖画、明代釉里红岁寒三友纹梅瓶等。抗战期间文物分三路内迁至四川李庄，1948年人文馆竣工开放，2008年全面免费开放。",1
3	朝天宫,"朝天宫位于南京市秦淮区水西门内冶山，是江南地区现存建筑等级最高、规模最大、保存最为完整的明清官式古建筑群落，素有"金陵第一胜迹"之美誉。现为南京市博物馆所在地，国家AAAA级旅游景区，全国重点文物保护单位。
4	朝天宫的历史最早可追溯至2500年前春秋时期吴王夫差筑冶城。东晋建冶城寺，南朝刘宋改为总明观（中国南方最早的科研机构），唐代改为太清宫，北宋为天庆观，明洪武十七年（1384年）朱元璋赐名"朝天宫"，成为皇家焚香祈福与百官演习朝贺礼仪之所。清同治五年（1866年）曾国藩主持重建，改为江宁府文庙和府学。建筑群占地面积约7万平方米，共分五进，中轴线上依次为泮池、棂星门、大成门、大成殿、崇圣殿、敬一亭。馆藏文物十万余件，镇馆之宝包括元青花"萧何月下追韩信图梅瓶"、七宝鎏金阿育王塔等。",1
5	六朝博物馆,"六朝博物馆位于南京市玄武区长江路302号，是中国展示六朝文物最全面的遗址博物馆，由贝聿铭之子贝建中领衔贝氏建筑事务所设计。2014年8月11日正式对外开放，建筑面积约2.3万平方米，设有"六朝帝都""回望六朝""六朝风采""六朝人杰"四大展厅。
6	2007年考古发现六朝建康宫城夯土包砖城墙遗址后促成建馆，博物馆直接建在六朝建康宫城遗址之上，实现了原址保护与展示。馆藏文物约1200件，镇馆之宝为出土于南京江宁灵山南朝墓的青瓷莲花尊，是中国南北朝时期同类器物中最大最精美者，堪称"青瓷之王"。三楼落地窗被誉为"最美落地窗"，2015年获全国博物馆十大陈列展览精品奖。门票30元。",1
7	江宁织造博物馆,"江宁织造博物馆位于南京市玄武区长江路123号，是在清代江宁织造府遗址上建设的遗址类博物馆，由两院院士吴良镛设计，2013年5月1日正式对外开放。占地面积1.87万平方米，建筑面积3.7万平方米。
8	江宁织造府是清代专门制造御用和官用缎匹的官办织局，从顺治二年（1645年）至光绪三十年（1904年）存续达260年。康熙六次南巡五次驻跸于此，"大行宫"地名即由此而来。《红楼梦》作者曹雪芹于康熙五十年（1711年）诞生于此，其家族三代世袭江宁织造官职达65年。博物馆设有江宁织造、云锦天衣、红楼梦曲、中国旗袍四大常设展厅，融合江宁织造历史、南京云锦非遗、红楼梦文化、中国旗袍四大主题，馆藏数百件民国旗袍。建筑以"核桃模式""盆景模式"为设计理念，被誉为现代建筑语言与传统园林结合的经典之作。门票30元。",1
9	南京城墙博物馆,"南京城墙博物馆位于南京市秦淮区老门东边营1号，是中国规模最大的城墙专题博物馆。2021年12月试运营开放，2024年5月获评国家一级博物馆。建筑面积约1.2万平方米，由何镜堂院士领衔设计，设计理念为"呈墙"，外墙采用玻璃幕墙实现"消隐"效果，与周边城墙融为一体。
10	基本陈列《旷世城垣——南京城墙历史文化陈列》从设计思想、筑城技术、皇都威仪、军事防御、遗产传承五个方面系统展示。特色展品包括700多块明代铭文城砖组成的视觉阵列、整体搬迁的江西黎川砖官窑、明代佛郎机炮等。博物馆设有宽大观景平台，可俯瞰中华门瓮城，是中国明清城墙联合申遗的展示平台。2020年成为中国首个加入ICOFORT（国际古迹遗址保护协会城防与军事遗产委员会）的文博单位。免费开放。",1
11	南京地质博物馆,"南京地质博物馆位于南京市玄武区珠江路700号，始建于1935年，原名中央地质调查所地质矿产陈列馆，是中国历史最悠久的自然科学博物馆之一。前身可追溯至1913年在北京成立的中央地质调查所矿产陈列室，被誉为"中国地质科学的发源地"。现为国家二级博物馆、全国科普教育基地，隶属江苏省地质调查研究院。
12	博物馆由老馆和新馆组成，总建筑面积近万平方米，馆藏标本约2万件。设7个常设展厅：老馆为《地学摇篮》《中国石文化》《矿产资源》《地质环境》；新馆为《恐龙世界》《行星地球》《生命演化》。"恐龙世界"展厅展有亚洲最大、保存最完整的恐龙之一炳灵大夏巨龙，以及中国第一具恐龙化石骨架许氏禄丰龙。老馆建筑由著名建筑师童寯设计。免费开放。",1
13	南京民俗博物馆,"南京市民俗博物馆（南京市非物质文化遗产馆）位于南京市秦淮区南捕厅15、17、19号和大板巷42号，依托全国重点文物保护单位甘熙宅第而建，1992年11月18日对外开放，是全国首家民俗、非遗"双博馆"。
14	甘熙宅第始建于清嘉庆年间，俗称"九十九间半"，实际有房间162间，是中国大城市中现存规模最大、形制最完整的古民居建筑，与明孝陵、明城墙并称为"南京明清三大景观"。建筑风格既有南方民居的秀丽雅致，又兼北方建筑的质朴大气。博物馆设有金陵名宅书礼传家、南京非物质文化遗产、老南京民俗三大展区，展示南京云锦、剪纸、秦淮灯彩、南京白局、金陵刻经等非遗项目。园内有津逮楼（清代金陵著名藏书楼）、严凤英旧居等。门票20元。",1
15	南京古生物博物馆,"南京古生物博物馆位于南京市玄武区北京东路39号（鸡鸣寺景区南侧），隶属于中国科学院南京地质古生物研究所，是世界上最大的古生物专业博物馆之一。2004年开放，2021年完成展陈改造升级，免费开放。
16	博物馆总建筑面积8500平方米，展览区近4200平方米。以古无脊椎动物、古植物和微体古生物为主，两大镇馆之宝为距今约5.2亿年的澄江动物群化石和包含"中华龙鸟"等珍贵标本的热河生物群。展览以"生命进化史"为轴线展开，"上山之路"模拟了南京地区从5.4亿年至1.4亿年前的地层剖面。博物馆内设有景观咖啡厅，可透过落地玻璃窗欣赏鸡鸣寺和樱花大道全景，是南京热门文博打卡地。",1
17	科举博物馆,"南京中国科举博物馆位于南京市秦淮区夫子庙学宫东侧，依托中国古代最大的科举考场——江南贡院遗址扩建而成，2017年1月28日正式开馆。2020年获评国家一级博物馆，2025年获评全国最具创新力博物馆。
18	江南贡院始建于南宋乾道四年（1168年），至清同治年间考生号舍多达20644间，占地达30余万平方米。明清两代从这里走出的官员占全国官员总数一半以上，清代112名状元中出自江南贡院的多达58名，唐伯虎、郑板桥、施耐庵、李鸿章等皆在此中举。博物馆主体建筑全部位于地下共四层，设计成宝匣形状，顶部为1300平方米的"墨池"水面。设有为国求贤、鱼龙变化、金榜题名、金陵佳话、源远流长五大展区。镇馆之宝为清代庄瑶殿试卷（一级文物）和"状元及第"匾。门票50元。",1
19	,,
20	江苏省美术馆,"江苏省美术馆位于南京市玄武区长江路，是中国近现代第一座国家级美术馆，标志着中国美术馆事业发展的开端。实行"一馆两址"格局：老馆（长江路266号）前身为1936年落成的国立美术陈列馆，由建筑师奚福泉设计，为全国重点文物保护单位；新馆（长江路333号）2010年建成，由德国KSP设计事务所设计。
21	两馆总建筑面积约4万平方米，馆藏以近现代美术作品为主，现有各类藏品近14000件，以新金陵画派代表画家作品为收藏重点，兼及明清吴门画派、扬州八怪、海上画派等。现为首批国家重点美术馆，与总统府、南京图书馆、梅园新村纪念馆等共同构成长江路文化一条街的核心文化地标。免费开放。",1
22	金陵美术馆,"金陵美术馆位于南京市秦淮区老门东剪子巷50号（原南京色织厂旧址），是南京市第一座集展示、收藏、研究于一体的市级美术馆，2013年9月29日对外开放。隶属于"一院两馆"（南京书画院、金陵美术馆、老城南记忆馆）旧厂改造项目，总建筑面积约15625平方米，其中美术馆占6000平方米。
23	建筑在原工业遗产基础上改造，表皮"斗"的造型是对江南街巷进深感的艺术抽象，铝板穿孔形式呼应城东民宅砖砌纹理。美术馆以收藏当代金陵画家作品为主，研究弘扬金陵画派，截至2023年已举办近400场展览，收藏近5000余件作品。免费开放。",1
24	四方当代美术馆,"南京四方当代美术馆位于南京市浦口区珍七路9号佛手湖畔，由美国建筑大师斯蒂文·霍尔设计，2013年11月2日新馆开放。建筑面积约3023平方米，展厅面积约1900平方米，设计灵感来源于中国画的平行透视法。
25	美术馆坐落在四方当代艺术湖区，毗邻超过24座国际建筑大师的杰作（包括矶崎新、妹岛和世、王澍等），属于"中国国际建筑艺术实践展"项目。美术馆以收藏展示中国及全球当代艺术作品为主，被誉为"最美的山中美术馆"，将自然山水、建筑艺术与当代艺术融为一体。门票80元（含湖区）。",1
26	,,
