,描述,图片数
台城（解放⻔段）,"台城位于江苏省南京市玄武区北极阁北麓、玄武湖以南解放门8号，是南京明城墙从解放门向西延伸的一段遗址，城墙下方设有南京明城垣史博物馆。该段城墙以条石为基，上砌明初城砖，总长253.15米，高度20.16米（其中条石城基高7.36米、城砖部分高18米），西端宽9.8米，东端宽10.3米。现存城墙为明初建造，原计划连接鼓楼岗与石头城，后因1386年新筑后湖城而废弃，现开放时间为每日08:30-17:00，成人票价30元。
明南京城墙始建于1366年，朱元璋采纳朱升“高筑墙，广积粮，缓称王”建议，分三期扩建应天府城。台城所属城墙段于1366年8月启动改筑，至1386年12月完成第三期工程。因明初建都防御需求，南京城墙最终形成周长35.267千米的规模，包含六朝建康宫城遗址。该段城墙在明代被附会为六朝时期台城，形成历史讹传。",2
明城墙全线,"南京明城墙是明初京师应天府（南京）的城墙，包括宫城、皇城、京城和外郭城四重 [1]，是中国规模最大的城墙，也是世界第一大城垣 [39]。南京明城墙始建于元至正廿六年（1366年），完工于明洪武廿六年（1393年），历时达28年，动用全国1部、3卫、5省、37府、162州县，共28万民工，约3.5亿块城砖，终完成四重城垣的格局 [2]。
南京明城墙的营造在六朝建康城和南唐金陵城的基础上，一改以往取方形或矩形的旧制，依山脉、水系的走向筑城。得山川之利，空江湖之势。南以外秦淮河为天然护城河、东有钟山为依、北有后湖为屏、西纳石城入内，形成独具防御特色的立体军事要塞 [3]。其中京城城墙长达35.3千米，是世界上最长、规模最大、保存原真性最好的古代城垣 [3]，现仍完整保存25.1千米 [4]。而外郭城墙更是超过60千米，围合面积逾230平方千米，为世界历史之最 [38]。
南京明城墙高坚甲于海内，是中国礼教制度与自然相结合的典范，也是古代都城建设的杰出代表，其筑城技术达到中国筑城史上的巅峰，是东亚筑城技术的典范 [5]。作为中国古代军事防御设施、城垣建造技术集大成之作，其历史价值、观赏价值、考古价值以及建筑设计、规模、功能等诸方面，国内外城墙均无法与之比拟，是继中国长城之后的又一宏构 [6]。
1956年10月，南京城墙被江苏省人民委员会列为江苏省第一批省级文物保护单位；1988年1月，南京城墙被中华人民共和国国务院列为全国重点文物保护单位；2012年11月，作为“明清城墙”项目的牵头者被列入中国世界文化遗产预备名单 [7]",2
,,
夫⼦庙,"南京夫子庙（英文名：Nanjing Confucius Temple），位于中国江苏省南京市秦淮区秦淮河北岸，贡院街、江南贡院以西，地处南京市夫子庙－秦淮河风光带核心区，即南京孔庙、南京文庙、文宣王庙，为供奉祭祀孔子之地，是中国第一所国家最高学府、中国四大文庙之一，中国古代文化枢纽之地、金陵历史人文荟萃之地，不仅是明清时期南京的文教中心，同时也是居东南各省之冠的文教建筑群。 [1-2]
夫子庙是一组古建筑群，主要由孔庙、学宫、贡院三大建筑群组成，占地极大。有照壁、泮池、牌坊、聚星亭、魁星阁、棂星门、大成殿、明德堂、尊经阁等建筑。夫子庙被誉为秦淮名胜而成为古都南京的特色景观区，在六朝至明清时期，世家大族多聚附近，故有“六朝金粉”之说，是中国最大的传统古街市，与上海城隍庙、苏州玄妙观和北京天桥为中国四大闹市，也是中国著名的开放式国家AAAAA级旅游景区和国际旅游胜地。 [3]
夫子庙始建于东晋咸康三年（337年），据王导提议“治国以培育人材为重”，立太学于秦淮河南岸；北宋景祐元年（1034年），移东晋学宫于秦淮河北，并在学宫之前建庙祭奉孔夫子；南宋建炎年间遭兵火焚毁，绍兴九年（1139年）重建，称建康府学；元朝改为集庆路学；明初改为国子学，后改为应天府x学；清初原府学改为上元、江宁两县的县学，咸丰年间再次毁于兵火，同治八年（1869年）重建；夫子庙四毁五建，最后一次破坏于1937年侵华日寇的炮火中，1984年后陆续修葺复建，1991年被评为“全国旅游胜地四十佳”。",1
王谢古居,王谢古居位于南京市秦淮区夫子庙乌衣巷内，为国家5A级旅游景区，门票价格8元。其建筑为1997年复建的明清风格仿古群落，呈现“青砖小瓦马头墙、回廊挂落花格窗”特征，建筑面积1000平方米，包含来燕堂、鉴晋楼等主体建筑，与夫子庙建筑群相融合,1
甘熙宅第,"甘熙宅第位于江苏省南京市秦淮区中山南路南捕厅15号、17号、19号和大板巷42号，又称甘熙故居、甘家大院，始建于清朝嘉庆年间（1796年—1820年），俗称“九十九间半” [1]，是中国大城市中现存规模最大、形制最完整的古民居建筑 [10]。
甘熙宅第由毗邻的四组多进穿堂式古建筑群构成。古建筑占地面积9500多平方米，建筑面积5400多平方米 [2]。宅第建筑群中建筑均坐南朝北 [3]。甘熙宅第建筑特色南北交融，既有“青砖小瓦马头墙，回廊挂落花格窗”的江南民居的娟秀雅致，又有北方“跑马楼”的浑厚大气 [4]。甘熙宅第具有极高的历史、科学和旅游价值，是南京面积最大、保存最完整的私人民宅",1
李⾹君故居,"李香君故居位于南京市秦淮区夫子庙钞库街38号，又称媚香楼，为南京市文物保护单位。该建筑为秦淮河畔一两层高的三进两院式砖木结构河房民居，地处夫子庙秦淮风光带核心区，陈列书法、绘画、楹联、篆刻、假山及园林小景等艺术精品，展现李香君生活场景，门票价格为10元。 [4]
李香君为清代孔尚任所著《桃花扇》中""秦淮八艳""之一，秦淮区政府为纪念其民族气节修复故居。故居原为其生前居住的媚香楼，修复后辟为陈列馆，曾是谢晋导演电影《桃花扇》的拍摄地，吸引众多海内外游客。",1
颜鲁公祠,颜鲁公祠位于南京市鼓楼区广州路215号，东邻乌龙潭公园，是现存唯一完整保存的祭祀唐代政治家、书法家颜真卿的祠庙遗迹。其历史可追溯至唐乾元二年（759年）颜真卿任昇州刺史期间开辟乌龙潭为放生池，清同治年间江宁知府涂宗瀛始建祠堂 [2] [4]。现存建筑群占地1800平方米，包含大殿、配殿及碑刻展陈，系统展示颜氏生平及书法成就 [2-3] [5]。作为市级文物保护单位，该祠兼具历史纪念与书法艺术传承功能，因环境清幽、文化底蕴深厚被列为南京重要人文景点,1
,,
⽼⻔东,"老门东（East Zhonghua Gate Historical Culture Block）位于江苏省南京市秦淮区中华门以东，是南京的历史文化街区，因地处南京城南门（即中华门）以东，故称“门东”，与老门西相对，是南京夫子庙秦淮风光带的重要组成部分，历史上曾是南京商业及居住最发达的地区之一，占地面积约15万平方米。 [2] [8]
老门东，三国时代便形成了行列式街道布局形态。明朝时期，南城门聚宝门（后称中华门）发展繁荣，基本保留着明清街道的传统风貌格局。改革开放以来，夫子庙地区开始全面修复和改造，成为南京市民俗旅游的热点和城市商业副中心。 [3]2010年 ，南京市政府调按照整修老门东街区，2013年9月29日正式对外开放。 [2] [4] [5]老门东街区有7条老街巷以“非”字形布局，左右两边的有6条窄巷。 [12]主要景点有门东牌坊、明城墙、剪子巷、箍桶巷、三条营、积善里等。 ",1
